Main General;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Total Mounted;;;Total Ground;;;Total Ranged;;;Total Siege;;;Overall;;;;;Attributes;;;Base Stats;;;;;;Base Growth;;;;;;;General Lvl; 44 ;
#32;Sigurd; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 30 ; 45 ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 103 ; 48 ; 63 ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 50 ; 50 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 20 ; 10 ; -   ; -   ; -   ; 246 ; 250 ; 237 ; 246 ; 250 ; 237 ; 429 ; 368 ; 360 ; 256 ; 280 ; 237 ; 3.396 ; 733 ; 733 ; 1.157 ; 773 ; 246 ; 250 ; 237 ; 125 ; 129 ; 119 ; 1.680,99 ; 1.699,97 ; 1.633,80 ; 8,98 ; 9,11 ; 8,62 ; 22,35 ; 22,67 ; 21,45 ;;;;
#33;Sweym Forkbeard; -   ; 10 ; -   ; 40 ; 10 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 35 ; -   ; 90 ; 70 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; 60 ; 35 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ; 5 ; 5 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 300 ; 282 ; 255 ; 395 ; 352 ; 330 ; 240 ; 242 ; 250 ; 240 ; 242 ; 250 ; 3.379 ; 837 ; 1.077 ; 732 ; 732 ; 240 ; 242 ; 250 ; 115 ; 117 ; 124 ; 1.652,24 ; 1.660,03 ; 1.699,21 ; 8,82 ; 8,87 ; 9,15 ; 21,95 ; 22,07 ; 22,77 ;;;;
#34;Maurice de Saxe; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 120 ; 65 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 75 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 5 ; 10 ; 240 ; 251 ; 243 ; 240 ; 251 ; 243 ; 250 ; 251 ; 243 ; 445 ; 371 ; 338 ; 3.365 ; 734 ; 734 ; 744 ; 1.154 ; 240 ; 251 ; 243 ; 117 ; 131 ; 121 ; 1.649,83 ; 1.704,36 ; 1.664,27 ; 8,78 ; 9,13 ; 8,87 ; 21,85 ; 22,72 ; 22,07 ;;;;
#35;*Leonidas; -   ; -   ; -   ; 30 ; -   ; 30 ; 25 ; -   ; -   ; -   ; -   ; -   ; 20 ; 30 ; 30 ; 80 ; 30 ; 90 ; 45 ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 60 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 263 ; 284 ; 277 ; 373 ; 294 ; 357 ; 278 ; 254 ; 247 ; 233 ; 254 ; 247 ; 3.362 ; 824 ; 1.024 ; 779 ; 734 ; 233 ; 254 ; 247 ; 112 ; 120 ; 110 ; 1.617,31 ; 1.717,65 ; 1.686,64 ; 8,54 ; 9,35 ; 9,17 ; 21,25 ; 23,27 ; 22,82 ;;;;
#36;Shapur I; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; 55 ; 40 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 40 ; -   ; 90 ; 55 ; 90 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 85 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; 247 ; 242 ; 240 ; 247 ; 242 ; 240 ; 272 ; 282 ; 240 ; 432 ; 317 ; 360 ; 3.359 ; 729 ; 729 ; 794 ; 1.109 ; 247 ; 242 ; 240 ; 132 ; 123 ; 127 ; 1.682,74 ; 1.661,86 ; 1.647,95 ; 8,93 ; 8,83 ; 8,67 ; 22,22 ; 21,97 ; 21,57 ;;;;
#37;Miltiades; -   ; 35 ; -   ; 45 ; 35 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; 100 ; 65 ; 85 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 50 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 5 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 241 ; 270 ; 250 ; 401 ; 355 ; 390 ; 241 ; 235 ; 250 ; 241 ; 235 ; 250 ; 3.358 ; 761 ; 1.146 ; 726 ; 726 ; 241 ; 235 ; 250 ; 121 ; 118 ; 130 ; 1.654,07 ; 1.623,67 ; 1.701,03 ; 8,78 ; 8,54 ; 9,11 ; 21,85 ; 21,25 ; 22,67 ;;;;
#38;Frigg; -   ; -   ; -   ; 45 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 95 ; 65 ; 75 ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; 40 ; 50 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 260 ; 246 ; 258 ; 385 ; 361 ; 393 ; 240 ; 236 ; 248 ; 240 ; 236 ; 248 ; 3.349 ; 763 ; 1.138 ; 723 ; 723 ; 240 ; 236 ; 248 ; 118 ; 114 ; 125 ; 1.649,75 ; 1.628,50 ; 1.688,93 ; 8,77 ; 8,62 ; 9,05 ; 21,82 ; 21,45 ; 22,52 ;;;;
#39;*Zachary Taylor; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 30 ; -   ; 45 ; 30 ; 70 ; 60 ; 60 ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; 51 ; -   ; 10 ; 41 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 247 ; 287 ; 271 ; 247 ; 287 ; 271 ; 362 ; 302 ; 311 ; 282 ; 242 ; 241 ; 3.345 ; 804 ; 804 ; 974 ; 764 ; 241 ; 242 ; 241 ; 120 ; 115 ; 114 ; 1.653,01 ; 1.657,91 ; 1.653,45 ; 8,78 ; 8,87 ; 8,84 ; 21,85 ; 22,07 ; 22,00 ;;;;
#40;Mason Weaver; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 25 ; 25 ; 20 ; 25 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 45 ; 45 ; 60 ; 45 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 10 ; 20 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 239 ; 247 ; 242 ; 239 ; 247 ; 242 ; 359 ; 302 ; 307 ; 339 ; 292 ; 287 ; 3.345 ; 729 ; 729 ; 969 ; 919 ; 239 ; 247 ; 242 ; 118 ; 123 ; 111 ; 1.646,35 ; 1.686,81 ; 1.660,48 ; 8,74 ; 9,05 ; 8,93 ; 21,75 ; 22,52 ; 22,22 ;;;;
#41;Godfrey of Bouilon; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 10 ; 40 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 70 ; 85 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 30 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 25 ; 10 ; 10 ; 5 ; 10 ; 247 ; 236 ; 246 ; 247 ; 236 ; 246 ; 382 ; 361 ; 371 ; 257 ; 251 ; 256 ; 3.336 ; 729 ; 729 ; 1.114 ; 764 ; 247 ; 236 ; 246 ; 121 ; 111 ; 119 ; 1.684,69 ; 1.632,12 ; 1.678,03 ; 9,05 ; 8,68 ; 9,01 ; 22,52 ; 21,60 ; 22,42 ;;;;
#42;Mu Guiying; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; 110 ; 70 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; 70 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ; 5 ; 243 ; 243 ; 245 ; 243 ; 243 ; 245 ; 293 ; 263 ; 245 ; 428 ; 328 ; 305 ; 3.321 ; 730 ; 730 ; 800 ; 1.060 ; 243 ; 243 ; 245 ; 123 ; 111 ; 114 ; 1.665,26 ; 1.662,75 ; 1.672,73 ; 8,86 ; 8,95 ; 9,01 ; 22,05 ; 22,27 ; 22,42 ;;;;
#43;*Lautaro; 25 ; -   ; -   ; 25 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 30 ; 10 ; 45 ; 50 ; 30 ; -   ; -   ; -   ; 50 ; -   ; -   ; 30 ; 10 ; 30 ; 30 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 320 ; 280 ; 282 ; 320 ; 330 ; 282 ; 245 ; 240 ; 242 ; 295 ; 240 ; 242 ; 3.316 ; 882 ; 932 ; 727 ; 777 ; 245 ; 240 ; 242 ; 117 ; 114 ; 117 ; 1.673,64 ; 1.647,78 ; 1.661,17 ; 8,99 ; 8,79 ; 8,88 ; 22,37 ; 21,87 ; 22,10 ;;;;
#44;Washington (Prime); 40 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 30 ; 85 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 45 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 398 ; 328 ; 377 ; 248 ; 243 ; 247 ; 248 ; 243 ; 247 ; 248 ; 243 ; 247 ; 3.315 ; 1.102 ; 737 ; 737 ; 737 ; 248 ; 243 ; 247 ; 128 ; 123 ; 126 ; 1.688,71 ; 1.665,26 ; 1.683,18 ; 9,02 ; 8,86 ; 8,99 ; 22,44 ; 22,05 ; 22,37 ;;;;
#45;*Oda Oichi; 15 ; -   ; -   ; 15 ; -   ; 30 ; 15 ; -   ; -   ; 15 ; -   ; -   ; 45 ; -   ; -   ; 45 ; 40 ; 50 ; 45 ; -   ; 20 ; 45 ; -   ; 20 ; 26 ; -   ; -   ; 26 ; 20 ; 10 ; 16 ; -   ; -   ; 16 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 308 ; 247 ; 238 ; 308 ; 307 ; 298 ; 298 ; 247 ; 258 ; 298 ; 247 ; 258 ; 3.314 ; 794 ; 914 ; 804 ; 804 ; 237 ; 247 ; 238 ; 110 ; 120 ; 111 ; 1.635,60 ; 1.687,03 ; 1.640,06 ; 8,72 ; 9,08 ; 8,75 ; 21,70 ; 22,59 ; 21,77 ;;;;
#46;Daniel Morgan; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 45 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 105 ; 50 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 30 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; -   ; 259 ; 236 ; 247 ; 259 ; 236 ; 247 ; 269 ; 236 ; 247 ; 404 ; 306 ; 367 ; 3.310 ; 741 ; 741 ; 751 ; 1.076 ; 259 ; 236 ; 247 ; 134 ; 124 ; 125 ; 1.743,84 ; 1.627,76 ; 1.684,39 ; 9,45 ; 8,52 ; 9,01 ; 23,51 ; 21,20 ; 22,42 ;;;;
#47;*Queen Boudica; 30 ; -   ; 15 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 90 ; 110 ; -   ; 30 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 62 ; 56 ; 10 ; 16 ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 347 ; 377 ; 359 ; 251 ; 261 ; 289 ; 241 ; 231 ; 239 ; 241 ; 231 ; 239 ; 3.308 ; 1.084 ; 802 ; 712 ; 712 ; 235 ; 231 ; 239 ; 109 ; 109 ; 108 ; 1.626,60 ; 1.603,92 ; 1.647,09 ; 8,65 ; 8,45 ; 8,84 ; 21,52 ; 21,03 ; 22,00 ;;;;
#48;Pyrrhus; -   ; -   ; 15 ; 35 ; 35 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 15 ; 25 ; 85 ; 65 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 15 ; 45 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 258 ; 271 ; 286 ; 373 ; 341 ; 321 ; 243 ; 241 ; 246 ; 243 ; 241 ; 246 ; 3.307 ; 814 ; 1.034 ; 729 ; 729 ; 243 ; 241 ; 246 ; 116 ; 120 ; 118 ; 1.664,65 ; 1.653,01 ; 1.678,11 ; 8,92 ; 8,78 ; 9,02 ; 22,20 ; 21,85 ; 22,44 ;;;;
#49;*George Dewey; -   ; -   ; 15 ; -   ; -   ; -   ; 20 ; -   ; -   ; 20 ; -   ; -   ; -   ; 60 ; 50 ; -   ; -   ; -   ; 60 ; -   ; 50 ; 60 ; -   ; 50 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 62 ; 10 ; -   ; 52 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 239 ; 295 ; 292 ; 239 ; 235 ; 242 ; 355 ; 245 ; 292 ; 345 ; 235 ; 292 ; 3.305 ; 826 ; 716 ; 892 ; 872 ; 233 ; 235 ; 242 ; 105 ; 118 ; 111 ; 1.613,29 ; 1.625,93 ; 1.659,35 ; 8,57 ; 8,56 ; 8,92 ; 21,32 ; 21,30 ; 22,20 ;;;;
#50;Raimondo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; -   ; 45 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 25 ; -   ; 80 ; 115 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 45 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; 245 ; 245 ; 240 ; 245 ; 245 ; 240 ; 260 ; 280 ; 240 ; 385 ; 415 ; 265 ; 3.303 ; 729 ; 729 ; 779 ; 1.064 ; 245 ; 245 ; 240 ; 121 ; 112 ; 115 ; 1.673,35 ; 1.675,15 ; 1.648,84 ; 8,95 ; 9,05 ; 8,79 ; 22,27 ; 22,52 ; 21,87 ;;;;
#51;*Yi Sun-Sin; 25 ; -   ; -   ; 25 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 60 ; 50 ; 25 ; 60 ; 50 ; 25 ; 25 ; -   ; -   ; 25 ; -   ; -   ; 42 ; -   ; 10 ; 32 ; -   ; -   ; 12 ; -   ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 335 ; 291 ; 278 ; 325 ; 291 ; 268 ; 270 ; 241 ; 243 ; 270 ; 241 ; 243 ; 3.297 ; 904 ; 884 ; 754 ; 754 ; 233 ; 241 ; 243 ; 115 ; 112 ; 110 ; 1.617,08 ; 1.654,73 ; 1.663,96 ; 8,51 ; 8,87 ; 8,97 ; 21,18 ; 22,07 ; 22,32 ;;;;
#52;*Kusunoki; 20 ; -   ; -   ; -   ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; 45 ; 25 ; 30 ; -   ; 25 ; 30 ; 60 ; 25 ; 30 ; -   ; 25 ; 30 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 51 ; 10 ; 20 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 286 ; 263 ; 275 ; 241 ; 263 ; 275 ; 346 ; 273 ; 295 ; 241 ; 263 ; 275 ; 3.294 ; 823 ; 778 ; 913 ; 778 ; 235 ; 238 ; 245 ; 108 ; 112 ; 112 ; 1.625,54 ; 1.638,86 ; 1.672,88 ; 8,65 ; 8,73 ; 9,03 ; 21,52 ; 21,72 ; 22,47 ;;;;
#53;Louis IX; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 85 ; 30 ; -   ; 25 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 40 ; 20 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 246 ; 241 ; 242 ; 246 ; 241 ; 242 ; 386 ; 366 ; 292 ; 246 ; 266 ; 267 ; 3.283 ; 729 ; 729 ; 1.044 ; 779 ; 246 ; 241 ; 242 ; 121 ; 118 ; 114 ; 1.682,42 ; 1.655,42 ; 1.659,12 ; 9,03 ; 8,82 ; 8,89 ; 22,47 ; 21,95 ; 22,12 ;;;;
#54;Edward Teach; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 40 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 75 ; 70 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; 25 ; 65 ; 20 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 246 ; 245 ; 238 ; 246 ; 245 ; 238 ; 266 ; 245 ; 263 ; 386 ; 335 ; 328 ; 3.281 ; 729 ; 729 ; 774 ; 1.049 ; 246 ; 245 ; 238 ; 119 ; 117 ; 117 ; 1.678,03 ; 1.674,78 ; 1.641,89 ; 9,01 ; 9,00 ; 8,71 ; 22,42 ; 22,39 ; 21,67 ;;;;
#55;Turenne; -   ; 35 ; -   ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; 10 ; 70 ; 70 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 60 ; 35 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 251 ; 274 ; 260 ; 371 ; 344 ; 320 ; 241 ; 239 ; 250 ; 241 ; 239 ; 250 ; 3.276 ; 784 ; 1.034 ; 729 ; 729 ; 241 ; 239 ; 250 ; 116 ; 113 ; 125 ; 1.653,30 ; 1.643,32 ; 1.698,00 ; 8,82 ; 8,76 ; 9,13 ; 21,95 ; 21,80 ; 22,72 ;;;;
#56;Subutai; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 70 ; 35 ; 10 ; 30 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 45 ; 10 ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 246 ; 240 ; 240 ; 246 ; 240 ; 240 ; 376 ; 355 ; 285 ; 256 ; 295 ; 255 ; 3.274 ; 726 ; 726 ; 1.016 ; 806 ; 246 ; 240 ; 240 ; 120 ; 112 ; 115 ; 1.679,09 ; 1.649,06 ; 1.652,24 ; 9,01 ; 8,82 ; 8,82 ; 22,42 ; 21,95 ; 21,95 ;;;;
#57;Andre Massena; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 80 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 55 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 406 ; 378 ; 274 ; 261 ; 243 ; 239 ; 246 ; 243 ; 239 ; 246 ; 243 ; 239 ; 3.262 ; 1.059 ; 744 ; 729 ; 729 ; 246 ; 243 ; 239 ; 120 ; 115 ; 117 ; 1.682,50 ; 1.666,99 ; 1.646,42 ; 9,04 ; 8,95 ; 8,75 ; 22,49 ; 22,27 ; 21,77 ;;;;
#58;*Shajar; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 35 ; 40 ; 35 ; 35 ; 40 ; 35 ; 35 ; 40 ; 35 ; 35 ; 40 ; 35 ; 10 ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 267 ; 275 ; 270 ; 267 ; 285 ; 280 ; 257 ; 275 ; 270 ; 257 ; 275 ; 270 ; 3.245 ; 811 ; 831 ; 801 ; 801 ; 222 ; 235 ; 235 ; 102 ; 109 ; 107 ; 1.560,21 ; 1.623,20 ; 1.623,35 ; 8,13 ; 8,62 ; 8,64 ; 20,23 ; 21,45 ; 21,50 ;;;;
#59;Laudon; 40 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 50 ; 30 ; 15 ; 25 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 45 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 373 ; 334 ; 306 ; 263 ; 264 ; 246 ; 248 ; 239 ; 241 ; 248 ; 239 ; 241 ; 3.240 ; 1.012 ; 772 ; 727 ; 727 ; 248 ; 239 ; 241 ; 118 ; 113 ; 117 ; 1.689,45 ; 1.643,32 ; 1.654,36 ; 9,12 ; 8,76 ; 8,82 ; 22,69 ; 21,80 ; 21,95 ;;;;
#60;Edward III; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; 15 ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 48 ; 28 ; 35 ; 8 ; 8 ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 10 ; 35 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 243 ; 245 ; 243 ; 243 ; 245 ; 243 ; 373 ; 303 ; 306 ; 288 ; 253 ; 251 ; 3.237 ; 731 ; 731 ; 982 ; 792 ; 243 ; 245 ; 243 ; 119 ; 114 ; 121 ; 1.666,69 ; 1.673,87 ; 1.665,41 ; 8,91 ; 9,02 ; 8,88 ; 22,17 ; 22,44 ; 22,10 ;;;;
#61;Epaminondas; -   ; -   ; 15 ; 30 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 10 ; 25 ; 50 ; 30 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; 20 ; 30 ; 10 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 272 ; 257 ; 291 ; 322 ; 287 ; 321 ; 242 ; 247 ; 246 ; 242 ; 247 ; 246 ; 3.221 ; 820 ; 930 ; 735 ; 735 ; 242 ; 247 ; 246 ; 115 ; 113 ; 110 ; 1.660,18 ; 1.684,15 ; 1.682,10 ; 8,89 ; 9,12 ; 9,13 ; 22,12 ; 22,69 ; 22,72 ;;;;
#62;Robert the Bruce; 15 ; -   ; -   ; 15 ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 10 ; 15 ; 45 ; 20 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 41 ; -   ; 25 ; 51 ; -   ; 35 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 294 ; 253 ; 284 ; 334 ; 263 ; 329 ; 244 ; 243 ; 244 ; 244 ; 243 ; 244 ; 3.216 ; 830 ; 925 ; 730 ; 730 ; 238 ; 243 ; 244 ; 109 ; 120 ; 115 ; 1.640,21 ; 1.663,21 ; 1.668,12 ; 8,77 ; 8,87 ; 8,96 ; 21,82 ; 22,07 ; 22,30 ;;;;
#63;Soult; -   ; -   ; -   ; 35 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 15 ; 65 ; 35 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 60 ; 25 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 250 ; 252 ; 261 ; 365 ; 302 ; 321 ; 240 ; 242 ; 246 ; 240 ; 242 ; 246 ; 3.207 ; 763 ; 988 ; 728 ; 728 ; 240 ; 242 ; 246 ; 116 ; 118 ; 118 ; 1.648,77 ; 1.662,23 ; 1.679,24 ; 8,78 ; 8,88 ; 9,03 ; 21,85 ; 22,10 ; 22,47 ;;;;
#64;Sun Ce; 35 ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 45 ; 10 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 366 ; 330 ; 259 ; 286 ; 255 ; 239 ; 246 ; 245 ; 239 ; 246 ; 245 ; 239 ; 3.197 ; 956 ; 781 ; 731 ; 731 ; 246 ; 245 ; 239 ; 120 ; 116 ; 114 ; 1.681,36 ; 1.677,12 ; 1.644,38 ; 9,03 ; 9,03 ; 8,76 ; 22,47 ; 22,47 ; 21,80 ;;;;
