Main General;;;Covenant;;;;Skill Books (Level 4) Not Calculated;;;;Main Skill;;;;Full Ascension;;;;Full Specialties;;;;Full Covenant/Skin;;;;Attributes;;;Totals;;;;;Base Stats;;;;;;Base Growth;;;;;;;Rally Spot;Attack;Base Atk
#2;U;Hersilia;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 55 ; 55 ; 40 ; -   ; -   ; -   ; -   ; -   ; 80 ; 50 ; 40 ; 6 ; 28 ; 21 ; 10 ; 10 ; -   ; -   ; -   ; 163 ; 126 ; 90 ; 16 ;16,38B;;;;;;;;;;;;;;;;
#3;U;Daniel Morgan;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 60 ; 45 ; 60 ; -   ; -   ; -   ; -   ; -   ; 85 ; 65 ; 20 ; 8 ; 20 ; 20 ; 10 ; 7 ; -   ; -   ; -   ; 165 ; 130 ; 90 ; 15 ;16,24B;;;;;;;;;;;;;;;;
#4;U;Shapur I;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 40 ; 55 ; -   ; -   ; -   ; -   ; -   ; 85 ; 50 ; 60 ; -   ; 10 ; 10 ; 10 ; 10 ; -   ; -   ; -   ; 150 ; 100 ; 125 ; 10 ;13,69B;;;;;;;;;;;;;;;;
#5;U;Francis Drake;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 40 ; 55 ; -   ; -   ; -   ; -   ; -   ; 75 ; 60 ; 60 ; -   ; 15 ; 10 ; 5 ; 10 ; -   ; -   ; -   ; 145 ; 110 ; 120 ; 10 ;13,33B;;;;;;;;;;;;;;;;
#6;U;Champlain;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; 75 ; 55 ; 45 ; 6 ; 10 ; 10 ; 10 ; 6 ; -   ; -   ; -   ; 135 ; 105 ; 105 ; 12 ;13,16B;;;;;;;;;;;;;;;;
#7;A;Kiso Yoshinaka;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 55 ; 40 ; -   ; -   ; -   ; -   ; -   ; 80 ; 60 ; 50 ; -   ; 15 ; 10 ; 10 ; 8 ; -   ; -   ; -   ; 150 ; 125 ; 100 ; 8 ;13,12B;;;;;;;;;;;;;;;;
#8;A;Olaf Skotkonung;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 60 ; 60 ; 45 ; -   ; -   ; -   ; -   ; -   ; 75 ; 65 ; 65 ; -   ; 15 ; 20 ; 15 ; 8 ; -   ; -   ; -   ; 150 ; 145 ; 125 ; 8 ;13,12B;;;;;;;;;;;;;;;;
#9;U;Stephen II;Y;N;N;Y; -   ; 25 ; 25 ; 12 ; 50 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; 75 ; 40 ; 50 ; -   ; 10 ; 5 ; 10 ; 10 ; -   ; -   ; -   ; 135 ; 85 ; 100 ; 10 ;12,59B;;;;;;;;;;;;;;;;
#10;A;Gunther;Y;Y;N;N; 25 ; 25 ; 25 ; 12 ; 45 ; 45 ; 30 ; -   ; -   ; -   ; -   ; -   ; 70 ; 45 ; 35 ; -   ; 8 ; 10 ; 20 ; 10 ; -   ; -   ; -   ; 123 ; 100 ; 85 ; 10 ;11,71B;;;;;;;;;;;;;;;;
#11;A;Christina;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 50 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; 75 ; 55 ; 45 ; -   ; 15 ; 10 ; 10 ; 5 ; -   ; -   ; -   ; 140 ; 115 ; 95 ; 5 ;11,52B;;;;;;;;;;;;;;;;
#12;U;Melisande;Y;Y;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; 40 ; 40 ; 8 ; -   ; -   ; -   ; -   ; 56 ; 35 ; 25 ; -   ; 10 ; 5 ; 5 ; 5 ; -   ; -   ; -   ; 106 ; 80 ; 70 ; 13 ;11,31B;;;;;;;;;;;;;;;;
#13;A;Theodosius I;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 45 ; -   ; 8 ; -   ; -   ; -   ; -   ; 70 ; 45 ; 35 ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; 125 ; 100 ; 45 ; 8 ;11,29B;;;;;;;;;;;;;;;;
#14;U;Mu Guiying;Y;N;N;N; -   ; 25 ; 25 ; 12 ; 45 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; 70 ; 10 ; 20 ; -   ; 15 ; 5 ; 5 ; 5 ; -   ; -   ; -   ; 130 ; 35 ; 45 ; 5 ;10,80B;;;;;;;;;;;;;;;;
#15;A;Kleos;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; -   ; 40 ; 12 ; -   ; -   ; -   ; -   ; 60 ; 45 ; 45 ; -   ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; 100 ; 45 ; 95 ; 12 ;10,59B;;;;;;;;;;;;;;;;
#16;A;Pallas;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 45 ; 35 ; 10 ; -   ; -   ; -   ; -   ; -   ; 61 ; 40 ; -   ; 6 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 116 ; 75 ; 10 ; 6 ;10,06B;;;;;;;;;;;;;;;;
#17;U;Raimondo;N;N;N;Y; -   ; 25 ; 25 ; 12 ; 45 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 45 ; 10 ; 6 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 115 ; 75 ; 10 ; 6 ;9,99B;;;;;;;;;;;;;;;;
#18;A;Isabella I (w/ dragon);N;N;N;N; 25 ; 25 ; 25 ; 12 ; 10 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; 50 ;; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; -   ; 10 ; 20 ;9,86B;;;;;;;;;;;;;;;;
#19;A;Napoleon;N;Y;N;Y; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 42 ; -   ; 10 ; 16 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 72 ; -   ; 10 ; 16 ;9,64B;;;;;;;;;;;;;;;;
#20;A;John Hunyadi;Y;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; 70 ; 35 ; 45 ; -   ; 20 ; -   ; 5 ; -   ; -   ; -   ; -   ; 135 ; 50 ; 65 ; -   ;9,73B;;;;;;;;;;;;;;;;
#21;U;Maurice de Saxe;Y;N;N;N; -   ; 25 ; 25 ; 12 ; 45 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; 75 ; 50 ; 40 ; -   ; 10 ; 5 ; 10 ; -   ; -   ; -   ; -   ; 130 ; 90 ; 85 ; -   ;9,37B;;;;;;;;;;;;;;;;
#22;A;Theobald I;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 40 ; 45 ; -   ; -   ; -   ; -   ; -   ; 65 ; 55 ; 45 ; -   ; 15 ; 10 ; 10 ; -   ; -   ; -   ; -   ; 125 ; 105 ; 100 ; -   ;9,01B;;;;;;;;;;;;;;;;
#23;U;Surena;N;N;Y;N; -   ; 25 ; 25 ; 12 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 30 ; 40 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 30 ; 40 ; 6 ;8,53B;;;;;;;;;;;;;;;;
#24;U;Septimius Severus;N;N;Y;Y; -   ; 25 ; 25 ; 12 ; 35 ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; 60 ; 40 ; 10 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 40 ; 30 ; 6 ;8,53B;;;;;;;;;;;;;;;;
#25;A;Zucca;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 40 ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; 50 ; 35 ; 20 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; 35 ; 55 ; 6 ;8,17B;;;;;;;;;;;;;;;;
#26;A;John Churchill;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 25 ; 20 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; 25 ; 20 ; 6 ;8,17B;;;;;;;;;;;;;;;;
#27;A;Philip II;N;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 10 ; 20 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 10 ; 20 ; 6 ;7,80B;;;;;;;;;;;;;;;;
#28;U;Seo Shonagon;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; 45 ; 40 ; -   ; -   ; -   ; -   ; -   ; 65 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 105 ; 95 ; 80 ; -   ;7,57B;;;;;;;;;;;;;;;;
#29;U;Edward Teach;N;N;N;Y; 25 ; 25 ; 25 ; 12 ; 40 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 20 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 105 ; 50 ; 35 ; -   ;7,57B;;;;;;;;;;;;;;;;
#30;U;Emperor Qin Shihuang;N;N;N;N; -   ; 25 ; 25 ; 12 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 36 ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 81 ; 36 ; -   ; 6 ;7,51B;;;;;;;;;;;;;;;;
#31;A;Petronas;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 10 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 30 ; 35 ; -   ;7,21B;;;;;;;;;;;;;;;;
#32;U;Ulysses;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 10 ; 20 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 76 ; 10 ; 20 ; 6 ;7,15B;;;;;;;;;;;;;;;;
#33;A;Matthias I;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; 50 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 10 ; 20 ; 5 ;6,43B;;;;;;;;;;;;;;;;
#34;A;Sherman;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; -   ; 10 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 66 ; -   ; 10 ; 6 ;6,42B;;;;;;;;;;;;;;;;
#35;U;Ramsesses II;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 40 ; 10 ; -   ;5,77B;;;;;;;;;;;;;;;;
#36;U;Khalid;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 10 ; 20 ; -   ;5,05B;;;;;;;;;;;;;;;;
#37;U;Gwanggaeto;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 26 ; 16 ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 16 ; -   ; 6 ;4,96B;;;;;;;;;;;;;;;;
#38;U;William Wallace;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; -   ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 66 ; -   ; 36 ; -   ;4,76B;;;;;;;;;;;;;;;;
#39;U;Gustavus Adolphus;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 10 ; 36 ;;;;;; -   ; -   ; -   ; 61 ; 10 ; 36 ; -   ;4,40B;;;;;;;;;;;;;;;;
#40;U;Suleiman the Magnificient;N;N;N;Y; 25 ; 25 ; 25 ; 12 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 10 ; 20 ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 61 ; 10 ; 20 ; -   ;4,40B;;;;;;;;;;;;;;;;
#41;U;Mason Weaver;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; 25 ; 25 ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 25 ; 25 ; -   ;4,32B;;;;;;;;;;;;;;;;
#42;A;Alfred the Great;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; 6 ;3,80B;;;;;;;;;;;;;;;;
#43;A;Cyrus the Great;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 21 ; -   ; -   ; 6 ;3,14B;;;;;;;;;;;;;;;;
#44;U;Raged King;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; 10 ; -   ;2,16B;;;;;;;;;;;;;;;;
#45;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#46;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#47;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#48;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#49;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#50;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#51;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#52;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#53;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#54;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#55;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
