Main General;;;Covenant;;;;Skill Books (Level 4) Not Calculated;;;;Main Skill;;;;Full Ascension;;;;Full Specialties;;;;Full Covenant/Skin;;;;Attributes;;;Totals;;;;;Base Stats;;;;;;Base Growth;;;;;;;Rally Spot;Attack;Base Atk
#7;U;Maria Carolina;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; 60 ; 20 ; 60 ; 8 ; 20 ; 5 ; 10 ; 6 ; -   ; -   ; -   ; 130 ; 65 ; 120 ; 14 ;24,60B;;;;;;;;;;;;;;;;
#8;A;Alexander Hamilton;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; 70 ; 60 ; 50 ; -   ; 20 ; 5 ; 10 ; 8 ; -   ; -   ; -   ; 145 ; 100 ; 95 ; 8 ;23,46B;;;;;;;;;;;;;;;;
#9;A;Louis II;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 40 ; 55 ; -   ; -   ; -   ; -   ; -   ; 70 ; 60 ; 60 ; -   ; 15 ; 20 ; 10 ; 8 ; -   ; -   ; -   ; 140 ; 120 ; 125 ; 8 ;22,79B;;;;;;;;;;;;;;;;
#10;A;Suchet;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 25 ; 45 ; -   ; -   ; -   ; -   ; -   ; 66 ; 30 ; 30 ; 6 ; 15 ; 10 ; 10 ; 5 ; -   ; -   ; -   ; 126 ; 65 ; 85 ; 11 ;22,48B;;;;;;;;;;;;;;;;
#11;A;Charles V;Y;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 50 ; 50 ; 35 ; -   ; -   ; -   ; -   ; -   ; 70 ; 55 ; 45 ; -   ; 15 ; 20 ; 5 ; 6 ; -   ; -   ; -   ; 135 ; 125 ; 85 ; 6 ;21,06B;;;;;;;;;;;;;;;;
#12;U;Zhang Fei;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; 66 ; 45 ; 35 ; -   ; 10 ; 10 ; 15 ; 8 ; -   ; -   ; -   ; 126 ; 95 ; 100 ; 8 ;20,91B;;;;;;;;;;;;;;;;
#13;A;Narcissus;Y;Y;N;N; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; 60 ; 50 ; 50 ; -   ; 15 ; 15 ; 30 ; 5 ; -   ; -   ; -   ; 125 ; 105 ; 130 ; 5 ;19,20B;;;;;;;;;;;;;;;;
#14;U;Miltiades;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 45 ; 35 ; 45 ; -   ; -   ; -   ; -   ; -   ; 60 ; 50 ; 50 ; 6 ; 10 ; 5 ; 5 ; -   ; -   ; -   ; -   ; 115 ; 90 ; 100 ; 6 ;18,38B;;;;;;;;;;;;;;;;
#15;A;Totila;Y;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 45 ; 30 ; -   ; -   ; -   ; -   ; -   ; 60 ; 45 ; 35 ; 6 ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; 115 ; 100 ; 75 ; 6 ;18,38B;;;;;;;;;;;;;;;;
#16;U;Sweyn Forkbeard;Y;N;Y;N; 25 ; 25 ; 25 ; 12 ; 40 ; 10 ; 40 ; -   ; -   ; -   ; -   ; -   ; 60 ; 35 ; 20 ; -   ; 15 ; 5 ; 5 ; 5 ; -   ; -   ; -   ; 115 ; 50 ; 65 ; 5 ;17,86B;;;;;;;;;;;;;;;;
#17;A;Alexander the Great;N;N;N;Y; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 10 ; 20 ; 16 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 10 ; 20 ; 16 ;17,46B;;;;;;;;;;;;;;;;
#18;U;Frigg;Y;N;Y;Y; -   ; 25 ; 25 ; 12 ; 45 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; 40 ; 50 ; 60 ; -   ; 10 ; 10 ; 10 ; 8 ; -   ; -   ; -   ; 95 ; 95 ; 105 ; 8 ;16,74B;;;;;;;;;;;;;;;;
#19;A;Ludwig;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 40 ; 25 ; 25 ; -   ; -   ; -   ; -   ; -   ; 60 ; 45 ; 35 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 70 ; 60 ; 6 ;16,37B;;;;;;;;;;;;;;;;
#20;U;Qin Qiong;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; 55 ; 45 ; 45 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 85 ; 85 ; 6 ;15,70B;;;;;;;;;;;;;;;;
#21;A;Maeda Toshiie;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 35 ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; 60 ; 20 ; 30 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 20 ; 60 ; 6 ;15,70B;;;;;;;;;;;;;;;;
#22;U;Pyrrhus;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 35 ; 15 ; 35 ; -   ; -   ; -   ; -   ; -   ; 55 ; 35 ; 35 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; 50 ; 70 ; 6 ;15,03B;;;;;;;;;;;;;;;;
#23;A;Alessandra;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; 30 ; 8 ; -   ; -   ; -   ; -   ; 50 ; 50 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 50 ; 50 ; 8 ;14,72B;;;;;;;;;;;;;;;;
#24;A;Lu Xun;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 45 ; 30 ; 30 ; -   ; -   ; -   ; -   ; -   ; 60 ; 55 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 105 ; 85 ; 50 ; -   ;13,93B;;;;;;;;;;;;;;;;
#25;A;Carus;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 46 ; 20 ; 10 ; 6 ;;;;; -   ; -   ; -   ; 81 ; 20 ; 10 ; 6 ;13,83B;;;;;;;;;;;;;;;;
#26;A;Guan Yu;N;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; 50 ; 10 ; 50 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 10 ; 70 ; 6 ;13,69B;;;;;;;;;;;;;;;;
#27;U;Trajan;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 15 ; 15 ; 20 ; -   ; -   ; -   ; -   ; -   ; 46 ; 10 ; 36 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 61 ; 25 ; 56 ; 10 ;13,18B;;;;;;;;;;;;;;;;
#28;A;Aurelian;N;Y;Y;Y; 25 ; 25 ; 25 ; 12 ; 40 ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; 55 ; 20 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 20 ; 85 ; -   ;12,60B;;;;;;;;;;;;;;;;
#29;U;Soult;N;N;Y;N; -   ; 25 ; 25 ; 12 ; 35 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; 60 ; 25 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 40 ; 50 ; -   ;12,60B;;;;;;;;;;;;;;;;
#30;U;Turenne;N;Y;Y;N; -   ; 25 ; 25 ; 12 ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 35 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 70 ; 40 ; -   ;12,60B;;;;;;;;;;;;;;;;
#31;A;Elise;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; 60 ; 10 ; 50 ; -   ; -   ; 15 ; 15 ; -   ; -   ; -   ; -   ; 90 ; 25 ; 95 ; -   ;11,94B;;;;;;;;;;;;;;;;
#32;A;Yue Fei;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 25 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 41 ; -   ; 10 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 66 ; -   ; 20 ; 6 ;11,82B;;;;;;;;;;;;;;;;
#33;A;Scipio Africanus;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; 30 ; 36 ; 46 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 36 ; 86 ; 6 ;11,01B;;;;;;;;;;;;;;;;
#34;U;Oda Nobunaga;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 36 ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 71 ; -   ; 30 ; -   ;9,42B;;;;;;;;;;;;;;;;
#35;U;Epaminondas;N;N;N;N; -   ; 25 ; 25 ; 12 ; 30 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; 30 ; 10 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 10 ; 65 ; -   ;7,96B;;;;;;;;;;;;;;;;
#36;A;Basil II;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 30 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 26 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 56 ; 25 ; 20 ; -   ;7,43B;;;;;;;;;;;;;;;;
#37;U;Takeda Shingen;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 32 ; -   ; 10 ; -   ;;;;; -   ; -   ; -   ; 52 ; -   ; 10 ; -   ;6,90B;;;;;;;;;;;;;;;;
#38;U;Robert the Bruce;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 15 ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; 26 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 41 ; -   ; 35 ; -   ;5,44B;;;;;;;;;;;;;;;;
#39;U;Peter the Great;N;Y;N;N; 25 ; 25 ; -   ; 12 ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; 20 ; 30 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 30 ; 55 ; -   ;2,65B;;;;;;;;;;;;;;;;
#40;A;Seleucus I;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 10 ; -   ; -   ;2,65B;;;;;;;;;;;;;;;;
#41;U;Alexander Nevsky;N;N;N;N; 25 ; 25 ; 25 ; 12 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; 10 ; 36 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; 20 ; 36 ; -   ;0,80B;;;;;;;;;;;;;;;;
#42;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#43;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#44;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#45;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#46;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#47;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#48;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#49;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#50;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
#51;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;0,00B;;;;;;;;;;;;;;;;
